date,dayofweek,visiting_team,v_game_number,home_team,h_game_number,v_score,h_score,LOG_inouts,LOG_minutes,v_AB,v_H,v_2B,v_3B,v_HR,v_RBI,v_SF,v_HBP,v_BB,v_K,v_SB,v_GIDP,v_LOB,v_pitchers_used,v_ER,v_def_assists,v_errors_def,v_doubleplays_def,h_AB,h_H,h_2B,h_3B,h_HR,h_RBI,h_SF,h_HBP,h_BB,h_K,h_SB,h_GIDP,h_LOB,h_pitchers_used,h_ER,h_def_assists,h_errors_def,h_doubleplays_def
20190330,Sat,SFG,3,SDP,3,3,2,54,190,34,9,4,0,0,3,0,3,2,9,1,1,9,5,2,10,1,1,35,8,3,0,0,2,0,0,0,9,2,1,6,5,3,11,0,1
20190330,Sat,NYM,2,WSN,2,11,8,54,230,40,14,4,1,0,10,0,0,5,11,0,0,8,5,4,9,2,0,36,9,4,0,1,8,1,2,3,11,1,0,7,6,11,8,1,0
20190330,Sat,CHW,2,KCR,2,6,8,51,196,36,10,1,0,2,6,0,0,2,10,1,1,5,6,8,8,1,1,32,10,3,0,0,8,0,1,5,4,1,1,7,5,6,8,0,1
20190330,Sat,CLE,2,MIN,2,2,1,54,180,30,4,0,0,1,2,1,0,3,13,0,0,5,4,1,5,1,1,28,2,1,1,0,1,0,1,3,10,0,1,4,5,2,5,0,0
20190330,Sat,BAL,2,NYY,2,5,3,54,204,36,9,2,0,0,4,0,0,1,9,2,1,5,6,3,12,0,2,35,10,1,0,1,3,0,0,6,9,0,2,11,4,3,9,3,1
20190330,Sat,ANA,3,OAK,5,2,4,51,162,33,6,2,0,0,2,1,0,2,7,0,0,7,4,4,7,0,0,31,7,0,0,1,4,0,1,2,6,0,0,6,3,1,9,1,0
20190330,Sat,BOS,3,SEA,5,5,6,51,190,38,9,1,0,0,2,0,0,3,11,1,1,9,4,5,8,2,1,34,10,2,0,1,6,0,0,4,10,2,1,8,4,2,9,3,1
20190330,Sat,HOU,3,TBD,3,1,3,51,160,33,8,0,0,1,1,0,0,3,7,0,1,8,3,3,8,1,0,30,7,3,0,0,3,0,0,1,13,3,0,5,5,1,10,0,1
20190330,Sat,CHC,2,TEX,2,6,8,51,227,34,9,3,0,1,6,1,0,7,5,1,1,9,5,6,9,1,1,32,10,2,0,2,8,0,0,12,14,0,1,12,5,6,10,0,1
20190330,Sat,DET,3,TOR,3,0,3,51,180,31,5,0,0,0,0,0,1,4,13,0,0,9,3,3,8,0,0,28,6,2,0,1,3,0,2,4,6,0,0,8,5,0,7,0,0
20190331,Sun,PIT,2,CIN,2,5,0,54,195,36,10,2,0,0,5,0,1,7,5,2,2,12,4,0,10,0,1,30,4,1,0,0,0,0,0,2,9,0,1,5,5,3,16,4,2
20190331,Sun,ARI,4,LAD,4,7,8,51,209,39,13,2,1,1,7,0,0,1,4,2,1,6,4,5,7,3,0,32,8,2,0,1,7,2,1,6,8,0,0,9,7,7,7,0,1
20190331,Sun,COL,4,FLA,4,0,3,51,152,30,5,2,0,0,0,0,0,1,7,0,1,5,3,3,10,0,1,28,5,0,0,1,3,0,1,2,11,2,1,4,3,0,13,0,1
20190331,Sun,STL,4,MIL,4,4,5,51,174,34,7,1,0,3,4,0,0,2,15,2,0,5,4,5,9,0,1,32,9,3,0,1,5,0,0,6,9,0,1,9,4,4,7,1,0
20190331,Sun,ATL,3,PHI,3,1,5,51,197,29,4,0,0,0,0,0,1,6,8,1,0,8,4,5,8,0,1,27,5,1,0,2,5,1,2,9,8,0,1,10,4,1,9,0,1
20190331,Sun,SFG,4,SDP,4,1,3,51,167,27,2,1,0,0,1,0,0,2,10,0,0,1,3,1,9,3,1,32,8,3,0,0,3,0,0,5,4,0,0,10,4,1,8,0,1
